2026-01-31 11:26:26,011 | INFO | Historical Data | [239/9165] Downloading BALMLAWRIE
2026-01-31 11:26:26,196 | INFO | Historical Data | [240/9165] Downloading BALRAMCHIN
2026-01-31 11:26:26,318 | INFO | Historical Data | [241/9165] Downloading CAMS
2026-01-31 11:26:26,437 | INFO | Historical Data | [242/9165] Downloading BANARBEADS
2026-01-31 11:26:26,566 | INFO | Historical Data | [243/9165] Downloading BANARISUG
2026-01-31 11:26:26,685 | INFO | Historical Data | [244/9165] Downloading NAM-INDIA
2026-01-31 11:26:26,800 | INFO | Historical Data | [245/9165] Downloading ROML
2026-01-31 11:26:26,932 | INFO | Historical Data | [246/9165] Downloading BASF
2026-01-31 11:26:27,067 | INFO | Historical Data | [247/9165] Downloading BATAINDIA
2026-01-31 11:26:27,189 | INFO | Historical Data | [248/9165] Downloading BBTC
2026-01-31 11:26:27,317 | INFO | Historical Data | [249/9165] Downloading SINTERCOM
2026-01-31 11:26:27,462 | INFO | Historical Data | [250/9165] Downloading BEL
2026-01-31 11:26:27,575 | INFO | Historical Data | [251/9165] Downloading MAHLOG
2026-01-31 11:26:27,706 | INFO | Historical Data | [252/9165] Downloading GLOBE
2026-01-31 11:26:27,830 | INFO | Historical Data | [253/9165] Downloading BEML
2026-01-31 11:26:27,942 | INFO | Historical Data | [254/9165] Downloading NIACL
2026-01-31 11:26:28,068 | INFO | Historical Data | [255/9165] Downloading BERGEPAINT
2026-01-31 11:26:28,180 | INFO | Historical Data | [256/9165] Downloading BEPL
2026-01-31 11:26:28,307 | INFO | Historical Data | [257/9165] Downloading 672TN27-SG
2026-01-31 11:26:28,395 | INFO | Historical Data | [258/9165] Downloading BHARATFORG
2026-01-31 11:26:28,522 | INFO | Historical Data | [259/9165] Downloading KHADIM
2026-01-31 11:26:28,714 | INFO | Historical Data | [260/9165] Downloading BHARATGEAR
2026-01-31 11:26:28,845 | INFO | Historical Data | [261/9165] Downloading 681MH28-SG
2026-01-31 11:26:28,935 | INFO | Historical Data | [262/9165] Downloading 693JH30-SG
2026-01-31 11:26:29,025 | INFO | Historical Data | [263/9165] Downloading 692RJ30-SG
2026-01-31 11:26:29,116 | INFO | Historical Data | [264/9165] Downloading 691AS30-SG
2026-01-31 11:26:29,207 | INFO | Historical Data | [265/9165] Downloading IFGLEXPOR
2026-01-31 11:26:29,395 | INFO | Historical Data | [266/9165] Downloading 691NL30-SG
2026-01-31 11:26:29,481 | INFO | Historical Data | [267/9165] Downloading BHEL
